Player,2PA,3PA,FTA,ORB,DRB,AST,STL,BLK,PTS,2P%,3P%,eFG%,FT%,DBPM,USG%,VORP
Dwight Howard,9.4,0.1,7.5,3.8,9.4,1.5,1.1,1.8,15.4,0.626,0,0.62,0.489,1.8,18.4,1.5
Al Horford,10.8,3.5,1.8,2,6.1,3.6,0.9,1.7,17.1,0.557,0.344,0.547,0.798,2.6,20.6,4.1
Brook Lopez,16.7,0.2,5.9,3,5.4,2.2,0.8,1.8,22,0.515,0,0.512,0.787,0.2,27.3,2.1
Cody Zeller,8.7,0.2,4.7,2.8,6.4,1.4,1.2,1.3,12.9,0.539,0,0.53,0.754,1,15.4,1.3
Robin Lopez,10.7,0,0.795,4.3,5.4,1.8,0.3,2.1,13.7,0.54,0,0.54,0.795,1.3,17.7,1.9
Kevin Love,8,6.5,4.7,2.2,9.1,2.8,0.9,0.6,18.3,0.467,0.36,0.499,0.822,0.9,23.4,2.8
Andrew Bogut,6.9,0,1.2,3,9.2,4,0.8,2.8,9.3,0.626,0,0.629,0.48,5.1,11.4,2.4
Nikola Jokic,10.7,1.7,3.9,3.8,7.9,3.9,1.6,1,16.5,0.541,0.333,0.535,0.811,2.2,19.9,3
Andre Drummond,14.2,0.1,7.9,5.3,10.8,0.9,1.6,1.5,17.7,0.522,0,0.522,0.355,1.6,24.1,1
Zaza Pachulia,8.4,0,5,4.5,8.4,2.3,1.1,0.4,11.7,0.469,0,0.466,0.768,2.2,16.2,1.7
Clint Capela,9.7,0,5.2,4.7,7.3,1.2,1.4,2.3,13.3,0.583,0,0.582,0.379,1.7,16.1,0.9
Myles Turner,13.6,0.4,3.2,1.8,7,1.1,0.7,2.3,16.3,0.506,0.214,0.501,0.727,1.4,20.9,-0.1
DeAndre Jordan,7,0,8.6,3.7,11,1.2,0.7,2.5,13.6,0.704,0,0.703,0.43,3.8,15.4,3.5
Timofey Mozgov,9.6,0.2,2.6,3,6.2,0.9,0.6,1.5,12.9,0.574,0,0.567,0.716,1,16.1,0.3
Marc Gasol,14.2,0,4.9,1.2,6.1,3.9,1,1.4,17.3,0.463,0,0.465,0.829,1.7,23.4,1.3
Hassan Whiteside,11.6,0,5.6,4,10.6,0.5,0.7,4.6,17.6,0.606,0,0.606,0.65,3.4,20.7,2.4
Greg Monroe,14.6,0,4.8,3.4,7.8,2.8,1.1,1,18.8,0.522,0,0.522,0.74,0.2,23.5,2.1
Karl-Anthony Towns,14.6,1.2,3.8,3.1,8.6,2.2,0.8,1.9,20.6,0.559,0.341,0.555,0.811,1.2,24.9,3.1
Anthony Davis,24.6,1.8,7.2,2.2,8.3,1.9,1.3,2.1,24.6,0.511,0.324,0.508,0.758,1.2,29.6,2.3
Joakim Noah,7.5,0,2.6,4.9,9.5,6.2,1,1.6,7,0.386,0,0.383,0.489,4.3,14.2,0.6
Steven Adams,7.6,0,3.5,3.9,5.6,1.1,0.8,1.6,11.4,0.613,0,0.613,0.582,1.3,12.6,2.1
Nikola Vucevic,18.3,0.2,2.7,3.1,7.1,3.2,0.9,1.2,20.9,0.512,0,0.511,0.753,1.1,26.8,2
Nerlens Noel,10.7,0,4.2,2.8,7.1,2.2,2.2,1.8,13.7,0.521,0,0.522,0.59,3.4,18.8,1.3
Tyson Chandler,7,0,3.8,3.9,8.9,1.4,0.8,1,10.5,0.585,0,0.583,0.62,1.3,12.7,0.6
Mason Plumlee,8.9,0.1,5.8,3.5,7.4,3.9,1.2,1.5,12.9,0.52,0,0.516,0.642,3,17.1,2.5
DeMarcus Cousins,18,3.4,10.6,2.5,9.4,3.4,1.6,1.5,28,0.473,0.333,0.477,0.718,1.6,35.4,2.6
Pau Gasol,14.6,1.1,4.5,2.4,10,4.6,0.7,2.3,18.7,0.478,0.348,0.481,0.792,3.5,24.6,3.5
Jonas Valanciunas,12.4,0,4.9,4.3,8.4,1,0.6,1.8,17.8,0.565,0,0.565,0.761,0.4,20.9,1.2
Rudy Gobert,6.6,0,5.3,3.9,8.6,1.7,0.8,2.5,10.4,0.559,0,0.559,0.569,4.8,14.2,2.8
Marcin Gortat,12.2,0,3.3,3.5,8.3,1.7,0.7,1.5,16.1,0.567,0,0.567,0.705,1.7,18.9,1.8
